topo,z,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,2.0,0.3,3,19,0.9332670000000001,0.08621889303883523,2.0129153728485107
BA,4,2.0,0.3,4,19,0.9414754999999999,0.0782962642434089,4.280442953109741
BA,4,1.8,0.3,1,20,0.9273735000000001,0.06890509020040748,0.6621057987213135
BA,4,1.8,0.3,2,20,0.9973924999999999,0.003777620909625961,0.6989929676055908
BA,4,1.8,0.3,3,20,0.9985504999999998,0.0029789285869782963,1.6333067417144775
BA,4,1.8,0.3,4,20,0.9989399999999998,0.0025903525466217984,3.716740846633911
BA,4,2.0,0.3,1,20,0.6589704999999999,0.17519220267661498,0.7996940612792969
BA,4,2.0,0.3,2,20,0.9963404999999999,0.004511202984617553,0.6887378692626953
BA,4,2.0,0.3,3,20,0.9985494999999999,0.002981026801200299,1.6191411018371582
BA,4,2.0,0.3,4,20,0.9989399999999998,0.0025903525466217984,3.7033588886260986
BA,4,1.8,0.3,1,21,0.767676,0.2453095826523143,0.92594313621521
BA,4,1.8,0.3,2,21,0.6215245,0.39734606598325395,1.2559080123901367
BA,4,1.8,0.3,3,21,0.780206,0.3088330562549765,3.716607093811035
BA,4,1.8,0.3,4,21,0.6946185,0.31554847268434216,7.533049821853638
BA,4,2.0,0.3,1,21,0.5494960000000001,0.23243551151822056,0.8819200992584229
BA,4,2.0,0.3,2,21,0.747763,0.32172467935537025,1.08477783203125
BA,4,2.0,0.3,3,21,0.7519285000000001,0.2739326270852782,3.4775969982147217
BA,4,2.0,0.3,4,21,0.7902480000000001,0.3043290002024298,7.207718849182129
BA,4,1.8,0.3,1,22,0.8972684999999998,0.11826853286505513,0.591127872467041
BA,4,1.8,0.3,2,22,0.9912979999999999,0.017907108438594593,0.7310791015625
BA,4,1.8,0.3,3,22,1.0,0.0,1.9105231761932373
BA,4,1.8,0.3,4,22,1.0,0.0,4.104882001876831
BA,4,2.0,0.3,1,22,0.7405055,0.177701519155755,0.6297059059143066
BA,4,2.0,0.3,2,22,0.9912154999999998,0.018080920294172454,0.7467761039733887
BA,4,2.0,0.3,3,22,1.0,0.0,1.8867030143737793
BA,4,2.0,0.3,4,22,1.0,0.0,4.18943190574646
BA,4,1.8,0.3,1,23,0.9160409999999999,0.1372102942240582,0.6647000312805176
BA,4,1.8,0.3,2,23,1.0,0.0,0.7455689907073975
BA,4,1.8,0.3,3,23,1.0,0.0,1.7247529029846191
BA,4,1.8,0.3,4,23,1.0,0.0,3.8029229640960693
BA,4,2.0,0.3,1,23,0.6850344999999999,0.19003967794772147,0.8932068347930908
BA,4,2.0,0.3,2,23,0.9593719999999999,0.0994033697723838,0.8068690299987793
BA,4,2.0,0.3,3,23,1.0,0.0,1.7211971282958984
BA,4,2.0,0.3,4,23,1.0,0.0,3.8113291263580322
BA,4,1.8,0.3,1,24,0.8327440000000002,0.08282470171836914,0.7485630512237549
BA,4,1.8,0.3,2,24,0.9987995,0.005368799213977089,0.7213928699493408
BA,4,1.8,0.3,3,24,1.0,0.0,1.7764759063720703
BA,4,1.8,0.3,4,24,1.0,0.0,3.884099006652832
BA,4,2.0,0.3,1,24,0.630827,0.12975304714401856,0.7441411018371582
BA,4,2.0,0.3,2,24,0.9964044999999999,0.008782100501049226,0.7210619449615479
BA,4,2.0,0.3,3,24,1.0,0.0,1.7722618579864502
BA,4,2.0,0.3,4,24,1.0,0.0,757.6536440849304
BA,4,1.8,0.3,1,25,0.940012,0.07727537808996719,0.5966041088104248
BA,4,1.8,0.3,2,25,0.999719,0.001093044516838018,0.7465429306030273
BA,4,1.8,0.3,3,25,1.0,0.0,1.6886210441589355
BA,4,1.8,0.3,4,25,1.0,0.0,3.8221981525421143
BA,4,2.0,0.3,1,25,0.82157,0.16692972432481243,0.6844260692596436
BA,4,2.0,0.3,2,25,0.999719,0.001093044516838018,0.7284910678863525
BA,4,2.0,0.3,3,25,1.0,0.0,1.6967778205871582
BA,4,2.0,0.3,4,25,1.0,0.0,4.113701105117798
BA,4,1.8,0.3,1,26,0.9128419999999998,0.09854200881376751,0.6677181720733643
BA,4,1.8,0.3,2,26,1.0,0.0,0.7384307384490967
