topo,z,regime,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,16,transition,1.7,0.2,4,7,0.4113083,0.47436643798542477,31.81286382675171
BA,16,transition,1.7,0.2,1,8,0.0774918,0.1941421520816875,3.8445379734039307
BA,16,transition,1.7,0.2,4,8,0.5782278000000001,0.47895079698280557,31.202857971191406
BA,16,transition,1.7,0.2,1,9,0.0178992,0.029921217521006623,3.438749074935913
BA,16,transition,1.7,0.2,4,9,0.46209720000000004,0.4896336005339898,30.804652214050293
BA,16,bistable,1.8,0.1,1,0,0.1101147,0.29901426530429054,3.386773109436035
BA,16,bistable,1.8,0.1,4,0,0.5064873999999999,0.4920130608548492,29.815984964370728
BA,16,bistable,1.8,0.1,1,1,0.03871739999999999,0.17136547490416879,3.400006055831909
BA,16,bistable,1.8,0.1,4,1,0.4850011,0.49367877081491285,30.138258934020996
BA,16,bistable,1.8,0.1,1,2,0.100312,0.26857520765263604,3.5391769409179688
BA,16,bistable,1.8,0.1,4,2,0.48294209999999993,0.48989347766135993,30.76046895980835
BA,16,bistable,1.8,0.1,1,3,0.0295791,0.10277864649794478,3.4789459705352783
BA,16,bistable,1.8,0.1,4,3,0.42732149999999997,0.4874607185590767,30.1168110370636
BA,16,bistable,1.8,0.1,1,4,0.09610019999999998,0.25276879059917523,3.435119152069092
BA,16,bistable,1.8,0.1,4,4,0.5070532,0.4960127251542133,30.136272192001343
BA,16,bistable,1.8,0.1,1,5,0.021039700000000005,0.10167055978094994,3.454603910446167
BA,16,bistable,1.8,0.1,4,5,0.4477308,0.49236683409889187,29.438759088516235
BA,16,bistable,1.8,0.1,1,6,0.006802600000000001,0.018423664932237387,3.2741141319274902
BA,16,bistable,1.8,0.1,4,6,0.3961452999999999,0.4855947019839267,29.5535249710083
BA,16,bistable,1.8,0.1,1,7,0.0398415,0.14175642122434287,3.3819048404693604
BA,16,bistable,1.8,0.1,4,7,0.43005180000000004,0.4880050766530525,28.955540895462036
BA,16,bistable,1.8,0.1,1,8,0.0385684,0.1415245172086855,3.407233953475952
BA,16,bistable,1.8,0.1,4,8,0.527222,0.4949529029283207,29.01189684867859
BA,16,bistable,1.8,0.1,1,9,0.0072454,0.017818626584945804,3.3406381607055664
BA,16,bistable,1.8,0.1,4,9,0.4238964,0.4928796792004386,28.94124484062195
ER,4,coop,1.0,0.0,1,0,1.0,0.0,2.437142848968506
ER,4,coop,1.0,0.0,4,0,1.0,0.0,9.585690975189209
ER,4,coop,1.0,0.0,1,1,1.0,0.0,2.4774489402770996
ER,4,coop,1.0,0.0,4,1,1.0,0.0,10.465135097503662
ER,4,coop,1.0,0.0,1,2,1.0,0.0,2.4106569290161133
ER,4,coop,1.0,0.0,4,2,1.0,0.0,10.809875965118408
ER,4,coop,1.0,0.0,1,3,1.0,0.0,2.4052300453186035
ER,4,coop,1.0,0.0,4,3,1.0,0.0,10.342519044876099
ER,4,coop,1.0,0.0,1,4,1.0,0.0,2.3971800804138184
ER,4,coop,1.0,0.0,4,4,1.0,0.0,9.403528213500977
ER,4,coop,1.0,0.0,1,5,1.0,0.0,2.349210739135742
ER,4,coop,1.0,0.0,4,5,1.0,0.0,9.202647924423218
ER,4,coop,1.0,0.0,1,6,1.0,0.0,2.4580397605895996
ER,4,coop,1.0,0.0,4,6,1.0,0.0,10.318935632705688
ER,4,coop,1.0,0.0,1,7,1.0,0.0,2.4203298091888428
ER,4,coop,1.0,0.0,4,7,1.0,0.0,8.966783046722412
ER,4,coop,1.0,0.0,1,8,1.0,0.0,2.3761632442474365
ER,4,coop,1.0,0.0,4,8,1.0,0.0,8.914726972579956
ER,4,coop,1.0,0.0,1,9,1.0,0.0,2.3974828720092773
ER,4,coop,1.0,0.0,4,9,1.0,0.0,9.557943105697632
ER,4,defect,1.7,0.5,1,0,0.0004961264016309888,0.0019197662829487164,2.9118831157684326
ER,4,defect,1.7,0.5,4,0,0.0015328236493374115,0.0032398080983847047,10.177040815353394
ER,4,defect,1.7,0.5,1,1,0.0,0.0,2.9549880027770996
ER,4,defect,1.7,0.5,4,1,6.330275229357798e-05,0.0006330275229357797,11.036182880401611
ER,4,defect,1.7,0.5,1,2,0.0,0.0,2.923023223876953
ER,4,defect,1.7,0.5,4,2,4.54081632653061e-05,0.00036624693581312456,11.349289894104004
ER,4,defect,1.7,0.5,1,3,0.0008003042596348887,0.002416472857161142,2.9347739219665527
ER,4,defect,1.7,0.5,4,3,0.0007594320486815419,0.0023589557493558983,10.905422687530518
ER,4,defect,1.7,0.5,1,4,0.0,0.0,2.908112049102783
ER,4,defect,1.7,0.5,4,4,0.0,0.0,9.96691107749939
ER,4,defect,1.7,0.5,1,5,0.0,0.0,2.861891984939575
