topo,z,corr,L,regime,b,theta,net_realization,rho_mean,rho_std,seconds
BA,4,uncorr,2,bistable,2.0,0.3,9,0.7466564,0.17682804300497612,4.369338274002075
BA,4,uncorr,3,coop,1.6,0.2,0,0.9903393,0.04948469497611144,8.751083850860596
BA,4,uncorr,3,coop,1.6,0.2,1,0.9989985,0.006033389146736691,8.941787958145142
BA,4,uncorr,3,coop,1.6,0.2,2,0.9903522000000001,0.047823955866355024,10.987780809402466
BA,4,uncorr,3,coop,1.6,0.2,3,0.9976855,0.012011892539218645,9.580724000930786
BA,4,uncorr,3,coop,1.6,0.2,4,0.9998383,0.0016170000000000021,9.224453926086426
BA,4,uncorr,3,coop,1.6,0.2,5,0.9776739000000001,0.07151221780043862,10.969810009002686
BA,4,uncorr,3,coop,1.6,0.2,6,0.9982985,0.009217180748992486,9.212618112564087
BA,4,uncorr,3,coop,1.6,0.2,7,0.9985342,0.006260838389012673,9.764597177505493
BA,4,uncorr,3,coop,1.6,0.2,8,0.9998248,0.0017520000000000213,8.586493015289307
BA,4,uncorr,3,coop,1.6,0.2,9,0.9873252999999999,0.024637548024029687,10.013504981994629
BA,4,uncorr,3,defect,2.0,0.6,0,0.5723319,0.061891187729560974,12.788459777832031
BA,4,uncorr,3,defect,2.0,0.6,1,0.6203248,0.03670131479988701,15.154874801635742
BA,4,uncorr,3,defect,2.0,0.6,2,0.5623167,0.07724898238099316,17.11361789703369
BA,4,uncorr,3,defect,2.0,0.6,3,0.6198224,0.07205234920878742,16.571736097335815
BA,4,uncorr,3,defect,2.0,0.6,4,0.5817931000000001,0.06725861441871409,13.981343984603882
BA,4,uncorr,3,defect,2.0,0.6,5,0.5403933,0.09614299004849308,16.06798005104065
BA,4,uncorr,3,defect,2.0,0.6,6,0.5822323,0.021506521109006013,13.303790807723999
BA,4,uncorr,3,defect,2.0,0.6,7,0.6521924,0.025206165636625717,15.39692997932434
BA,4,uncorr,3,defect,2.0,0.6,8,0.5958344,0.026213743034499817,12.929862260818481
BA,4,uncorr,3,defect,2.0,0.6,9,0.6433905000000002,0.059251494843266306,13.825990915298462
BA,4,uncorr,3,bistable,2.0,0.3,0,0.8201767000000001,0.21872012811475616,10.439469814300537
BA,4,uncorr,3,bistable,2.0,0.3,1,0.8594909,0.18541468462594698,11.03054404258728
BA,4,uncorr,3,bistable,2.0,0.3,2,0.8239609,0.2234229951771511,13.433552742004395
BA,4,uncorr,3,bistable,2.0,0.3,3,0.8207527,0.18863402972800067,12.178469181060791
BA,4,uncorr,3,bistable,2.0,0.3,4,0.8335698,0.20626410125032926,11.401098012924194
BA,4,uncorr,3,bistable,2.0,0.3,5,0.7729560999999999,0.2516076237378752,12.879520177841187
BA,4,uncorr,3,bistable,2.0,0.3,6,0.8123029000000002,0.20905746809007403,10.793466806411743
BA,4,uncorr,3,bistable,2.0,0.3,7,0.8614014,0.17166632716071165,12.104259014129639
BA,4,uncorr,3,bistable,2.0,0.3,8,0.9049544,0.17522414917810822,9.762120008468628
BA,4,uncorr,3,bistable,2.0,0.3,9,0.8177936999999998,0.1861502841366392,12.217082738876343
BA,4,uncorr,4,coop,1.4,0.0,0,0.9978117000000001,0.015442101969693915,20.08626890182495
BA,4,uncorr,4,coop,1.4,0.0,1,1.0,0.0,20.390424013137817
BA,4,uncorr,4,coop,1.4,0.0,2,0.9867985999999999,0.07022765224207869,23.667937994003296
BA,4,uncorr,4,coop,1.4,0.0,3,1.0,0.0,21.706554174423218
BA,4,uncorr,4,coop,1.4,0.0,4,1.0,0.0,21.335120916366577
BA,4,uncorr,4,coop,1.4,0.0,5,0.984695,0.05225876040812624,23.85957908630371
BA,4,uncorr,4,coop,1.4,0.0,6,1.0,0.0,20.908912897109985
BA,4,uncorr,4,coop,1.4,0.0,7,1.0,0.0,21.488516092300415
BA,4,uncorr,4,coop,1.4,0.0,8,1.0,0.0,19.72365689277649
BA,4,uncorr,4,coop,1.4,0.0,9,0.9880172999999999,0.02286414381590412,22.28226900100708
BA,4,uncorr,4,defect,2.0,0.6,0,0.5740522000000001,0.06177315448731052,28.952828884124756
BA,4,uncorr,4,defect,2.0,0.6,1,0.6228555,0.03392334794962182,35.86042618751526
BA,4,uncorr,4,defect,2.0,0.6,2,0.5603105,0.09460140342537475,35.610750913619995
BA,4,uncorr,4,defect,2.0,0.6,3,0.6118521,0.09493577528455112,35.27431511878967
BA,4,uncorr,4,defect,2.0,0.6,4,0.5799761,0.06830867417440224,32.251487016677856
BA,4,uncorr,4,defect,2.0,0.6,5,0.5433140000000001,0.09766341744517597,34.96044063568115
BA,4,uncorr,4,defect,2.0,0.6,6,0.5811005,0.02240016965912481,30.486300945281982
BA,4,uncorr,4,defect,2.0,0.6,7,0.6499022000000001,0.025869491784960168,33.79278087615967
BA,4,uncorr,4,defect,2.0,0.6,8,0.5940027,0.025820482663180332,29.266834020614624
BA,4,uncorr,4,defect,2.0,0.6,9,0.6416433,0.05899914721272062,34.22063326835632
BA,4,uncorr,4,bistable,2.0,0.4,0,0.6843255,0.18937800835694313,27.795904636383057
BA,4,uncorr,4,bistable,2.0,0.4,1,0.7298572,0.18096555527536506,30.013254165649414
BA,4,uncorr,4,bistable,2.0,0.4,2,0.6933942000000001,0.21803481417953197,33.01827096939087
BA,4,uncorr,4,bistable,2.0,0.4,3,0.7383345,0.18662153337691095,29.633167266845703
BA,4,uncorr,4,bistable,2.0,0.4,4,0.7085580999999999,0.19881791902300044,29.742860078811646
BA,4,uncorr,4,bistable,2.0,0.4,5,0.6405098000000001,0.21185400927625664,31.293097257614136
BA,4,uncorr,4,bistable,2.0,0.4,6,0.7206170999999999,0.1978522881389247,26.30918288230896
BA,4,uncorr,4,bistable,2.0,0.4,7,0.7633163,0.16495129138201964,29.289617776870728
BA,4,uncorr,4,bistable,2.0,0.4,8,0.7497815000000001,0.20204570099273694,26.11374592781067
BA,4,uncorr,4,bistable,2.0,0.4,9,0.727053,0.16393234520078792,28.315968990325928
BA,16,corr,1,coop,1.0,0.0,0,0.9722974999999999,0.12174011573238855,3.44337797164917
BA,16,corr,1,coop,1.0,0.0,1,0.8934622999999999,0.14810535088687116,6.0190269947052
BA,16,corr,1,coop,1.0,0.0,2,0.9978149999999999,0.02185000000000002,3.101966142654419
BA,16,corr,1,coop,1.0,0.0,3,0.9985697,0.014303000000000019,3.092296838760376
BA,16,corr,1,coop,1.0,0.0,4,0.8691490999999999,0.23089866986110213,4.11710000038147
